incrocio,incidenti,morti,feriti,lat,lon,score
VIA CRISTOFORO COLOMBO x VIA DEL CANALE DELLA LINGUA,15,2.0,9.0,41.7364,12.3457,260.0
VIA NOMENTANA x VIALE VENTUNO APRILE,7,1.0,8.0,41.921,12.5177,147.0
VIA CESARE FEDERICI x VIA CRISTOFORO COLOMBO,9,1.0,7.0,41.8638,12.4977,144.0
CIRCONVALLAZIONE OSTIENSE x VIA GIROLAMO BENZONI,6,1.0,7.0,41.86735,12.48445,141.0
VIA CASILINA x VIALE DELLA PRIMAVERA,9,1.0,6.0,41.8755,12.5575,139.0
CIRCONVALLAZIONE OSTIENSE x VIA OSTIENSE,4,1.0,5.0,41.86775,12.4796,129.0
VIA DEI CASTANI x VIA DEI FAGGI,6,1.0,3.0,41.8841,12.5668,121.0
VIA DELLE AVOCETTE x VIA ENRICO GIGLIOLI,2,1.0,3.0,41.8694,12.5981,117.0
VIA DELLA NOCETTA x VICOLO SILVESTRI,2,1.0,2.0,41.8833,12.432,112.0
VIA DI TORREVECCHIA x VIA GIROLAMO GHINUCCI,2,1.0,2.0,41.9234,12.4123,112.0
VIA ASMARA x VIA NOMENTANA,6,1.0,1.0,41.959,12.5737,111.0
VIA DEL PONTE DI PANTANO x VIA DELLA LITE,13,0.0,19.0,41.856,12.7133,108.0
VIA DI S. AGNESE x VIA NOMENTANA,3,1.0,1.0,41.9229,12.5195,108.0
VIA ANGELO BANTI x VIA SALARIA,3,1.0,1.0,42.0397,12.5591,108.0
VIA ANTONINO ANILE x VIA TUSCOLANA,2,1.0,1.0,41.8274,12.6252,107.0
VIA CHIANA x VIA SEBINO,2,1.0,1.0,41.9221,12.505749999999999,107.0
LARGO BRATISLAVA x VIALE ANTONINO DI SAN GIULIANO,2,1.0,1.0,41.93675,12.46095,107.0
VIA GIOVANNI VOLPATO x VIA PORTUENSE,1,1.0,1.0,41.8714,12.4674,106.0
LARGO DON LUIGI GUANELLA x VIA AURELIA ANTICA,3,1.0,0.0,41.8902,12.435,103.0
VIA CARLO ALBIZZATI x VIA GIANDOMENICO BERTOLI,3,1.0,0.0,41.7816,12.331,103.0
VIA MATELICA x VIA POLENSE,2,1.0,0.0,41.908550000000005,12.720749999999999,102.0
VIA MAR ROSSO x VIA MARE DI BERING,2,1.0,0.0,41.733450000000005,12.299199999999999,102.0
VIALE DELL'OCEANO INDIANO x VIALE EGEO,2,1.0,0.0,41.828500000000005,12.4539,102.0
VIA DI TORREVECCHIA x VIA DOLCEDO,1,1.0,0.0,41.9145,12.4069,101.0
VIALE JONIO x VIALE JONIO,1,1.0,0.0,41.9437,12.5427,101.0
VIA AUGUSTO VERA x VIA SALVATORE DI GIACOMO,1,1.0,0.0,41.8454,12.487,101.0
VIA MULAZZANO x VIA PEDRENGO,1,1.0,0.0,42.0352,12.473,101.0
VIA DELLA MAGLIANA x VIA DELLE VIGNE,1,1.0,0.0,41.8317,12.4196,101.0
VIA DI TOR CERVARA x VIA ENEIDE,1,1.0,0.0,41.9222,12.5886,101.0
VIA GIOVAN BATTISTA AUDIFFREDI x VIA TRIONFALE,1,1.0,0.0,41.9559,12.4125,101.0
VIA ANASTASIO II x VIA CARDINALE TRIPEPI,1,1.0,0.0,41.8999,12.4425,101.0
VIA CRISTOFORO COLOMBO x VIA GIOVANNI GENOCCHI,13,0.0,16.0,41.8588,12.4963,93.0
VIALE DELLA SERENISSIMA x VIALE DELLA VENEZIA GIULIA,17,0.0,15.0,41.8967,12.5587,92.0
VIA PRENESTINA x VIALE PALMIRO TOGLIATTI,35,0.0,11.0,41.8948,12.5749,90.0
LUNGOTEVERE MARZIO x PONTE CAVOUR,14,0.0,15.0,41.9049,12.475,89.0
VIA PRENESTINA x VIA TOR DE' SCHIAVI,13,0.0,15.0,41.8947,12.5592,88.0
VIA DEI CICLAMINI x VIA DEI GELSI,15,0.0,13.0,41.8889,12.5672,80.0
VIA DI VILLA ADA x VIA LARIANA,19,0.0,11.0,41.9244,12.5052,74.0
VIA DELL'ACQUEDOTTO DEL PESCHIERA x VIALE MONFORTANI,9,0.0,13.0,41.9374,12.4247,74.0
CIRCONVALLAZIONE OSTIENSE x VIA MANFREDO CAMPERIO,7,0.0,13.0,41.8674,12.49035,72.0
VIA DELLA STORTA x VIA DI BOCCEA,8,0.0,12.0,41.928,12.3533,68.0
VIA EMANUELE FILIBERTO x VIALE MANZONI,18,0.0,10.0,41.8903,12.5068,68.0
PIAZZALE UGO LA MALFA x VIA DEL CIRCO MASSIMO,17,0.0,10.0,41.8853,12.4849,67.0
VIA DI TORRE SPACCATA x VIALE BRUNO PELIZZI,6,0.0,12.0,41.8554,12.5838,66.0
VIA ACAIA x VIA SATRICO,11,0.0,11.0,41.8768,12.50815,66.0
VIA DI TOR VERGATA x VIA MARCELLO ALESSIO,10,0.0,11.0,41.8468,12.6226,65.0
CORSO DUCA DI GENOVA x VIALE DELLE REPUBBLICHE MARINARE,10,0.0,11.0,41.734,12.2713,65.0
VIA ALATRI x VIA TOR DE' SCHIAVI,12,0.0,10.0,41.8935,12.5594,62.0
LARGO CAMESENA x VIA CAMESENA,12,0.0,10.0,41.9091,12.5348,62.0
VIA GAETA x VIA GOITO,7,0.0,11.0,41.9053,12.5014,62.0
VIA CASILINA x VIALE PALMIRO TOGLIATTI,16,0.0,9.0,41.87395,12.5698,61.0
VIA DI ROCCA CENCIA x VIA PRENESTINA,4,0.0,11.0,41.8887,12.6958,59.0
PIAZZALE OSTIENSE x VIALE MARCO POLO,13,0.0,9.0,41.8761,12.4832,58.0
VIA CARLO DENINA x VIA TOMMASO FORTIFIOCCA,12,0.0,9.0,41.87,12.5234,57.0
PIAZZALE PINO PASCALI x VIALE PALMIRO TOGLIATTI,12,0.0,9.0,41.8972,12.575849999999999,57.0
VIA GIUSEPPE SALVIOLI x VIALE MARCO FULVIO NOBILIORE,5,0.0,10.0,41.8607,12.5661,55.0
VIA ANDREA MANTEGNA x VIA DEI GEORGOFILI,10,0.0,9.0,41.8519,12.4939,55.0
VIA TUSCOLANA x VIALE PALMIRO TOGLIATTI,14,0.0,8.0,41.852450000000005,12.57,54.0
VIA CESARE FRUGONI x VIA OSTIENSE,8,0.0,9.0,41.84205,12.4671,53.0
PIAZZALE CLODIO x VIALE GIOVANNI FALCONE E PAOLO BORSELLINO,12,0.0,8.0,41.9167,12.4549,52.0
LARGO PRENESTE x VIA PRENESTINA,12,0.0,8.0,41.8926,12.54195,52.0
VIA DI PORTONACCIO x VIA TIBURTINA,17,0.0,7.0,41.9082,12.5342,52.0
VIA CASILINA x VIA TOR DE' SCHIAVI,7,0.0,9.0,41.8748,12.5647,52.0
VIA BORGHESIANA x VIA PRENESTINA,6,0.0,9.0,41.891000000000005,12.663499999999999,51.0
VIA DI S. CROCE IN GERUSALEMME x VIALE MANZONI,6,0.0,9.0,41.8913,12.5079,51.0
VIA MOLFETTA x VIALE PALMIRO TOGLIATTI,5,0.0,9.0,41.8903,12.5743,50.0
VIA TOMMASO CAMPANELLA x VIA TRIONFALE,9,0.0,8.0,41.9409,12.4229,49.0
VIA DEI GELSI x VIALE DELLE ORCHIDEE,9,0.0,8.0,41.8893,12.5693,49.0
VIALE ANGELICO x VIALE GIUSEPPE MAZZINI,9,0.0,8.0,41.9172,12.4586,49.0
VIA FRESONARA x VIA VOLPEGLINO,3,0.0,9.0,41.8254,12.2999,48.0
VIALE ANICIO GALLO x VIALE TITO LABIENO,8,0.0,8.0,41.8517,12.56525,48.0
VIA ROCCA DI PAPA x VIA TUSCOLANA,8,0.0,8.0,41.87025,12.5361,48.0
VIA CRISTOFORO COLOMBO x VIALE EUROPA,8,0.0,8.0,41.83075,12.469100000000001,48.0
VIA DI ACQUA ACETOSA OSTIENSE x VIA LAURENTINA,8,0.0,8.0,41.80755,12.48345,48.0
VIA AMBROGIO NECCHI x VIA ERNESTO BREDA,7,0.0,8.0,41.8613,12.6431,47.0
LUNGOMARE DUILIO x VIA DEI PESCATORI,7,0.0,8.0,41.721,12.2988,47.0
VIA AVERSA x VIA DI ACQUA BULLICANTE,7,0.0,8.0,41.8911,12.5419,47.0
VIA CONTE VERDE x VIALE MANZONI,6,0.0,8.0,41.89215,12.50875,46.0
VIA DI TORREVECCHIA x VIA SIMONE MOSCA,11,0.0,7.0,41.929,12.4173,46.0
PIAZZA TOMMASO DE CRISTOFORIS x VIA ALBERTO POLLIO,5,0.0,8.0,41.9005,12.5346,45.0
VIA DEI RADAR x VIA TIBURTINA,5,0.0,8.0,41.9359,12.6126,45.0
VIA BALDO DEGLI UBALDI x VIALE DI VALLE AURELIA,9,0.0,7.0,41.8999,12.4363,44.0
LARGO PRENESTE x VIA DI PORTONACCIO,9,0.0,7.0,41.8928,12.5418,44.0
VIA DEGLI ANGELI x VIA DI CENTOCELLE,4,0.0,8.0,41.87245,12.5498,44.0
VIA SOLFERINO x VIA VOLTURNO,4,0.0,8.0,41.9035,12.5009,44.0
PIAZZA AUGUSTO RIGHI x PONTE GUGLIELMO MARCONI,8,0.0,7.0,41.8618,12.4701,43.0
VIA DEL VIMINALE x VIA TORINO,8,0.0,7.0,41.9006,12.4963,43.0
VIA ALCEO x VIA ESCHILO,8,0.0,7.0,41.762,12.3721,43.0
VIA DEL PORTO FLUVIALE x VIA OSTIENSE,7,0.0,7.0,41.8723,12.4766,42.0
PIAZZA PIO XI x VIA GREGORIO VII,12,0.0,6.0,41.895,12.4386,42.0
PIAZZA QUINTO CURZIO x VIA STATILIO OTTATO,12,0.0,6.0,41.8563,12.5682,42.0
VIA ETTORE ROMAGNOLI x VIA NOMENTANA,7,0.0,7.0,41.9412,12.5468,42.0
VIA QUINTO PUBLICIO x VIALE PALMIRO TOGLIATTI,12,0.0,6.0,41.8561,12.5711,42.0
VIA MONTE DEL FINOCCHIO x VIA OSTIENSE,7,0.0,7.0,41.8109,12.4229,42.0
VIA PIEMONTE x VIA SALLUSTIANA,7,0.0,7.0,41.9071,12.4939,42.0
VIA DI S. CROCE IN GERUSALEMME x VIA STATILIA,6,0.0,7.0,41.8904,12.5118,41.0
VIA MANFREDONIA x VIA PRENESTINA,6,0.0,7.0,41.89445,12.577,41.0
VIA DI SAPONARA x VIALE ENRICO ORTOLANI,6,0.0,7.0,41.7744,12.3459,41.0
VIA DELLA DIVISIONE TORINO x VIA MATTEO BARTOLI,6,0.0,7.0,41.8184,12.4889,41.0
LARGO GREGORIO XIII x VIA DI BOCCEA,6,0.0,7.0,41.9036,12.4187,41.0
VIA DI TORRE SPACCATA x VIALE DEI ROMANISTI,6,0.0,7.0,41.8652,12.5865,41.0
VIA LORENZO IL MAGNIFICO x VIA TEODORICO,6,0.0,7.0,41.91165,12.52655,41.0
VIA GINO BONICHI x VIA TELEMACO SIGNORINI,5,0.0,7.0,41.7765,12.3589,40.0
VIA CELESTINO ROSATELLI x VIA COLLATINA,5,0.0,7.0,41.9183,12.6613,40.0
VIA DEL FOSSO DI S. MAURA x VIA DI TORRE SPACCATA,5,0.0,7.0,41.8586,12.5858,40.0
VIA COSTANTINO x VIA CRISTOFORO COLOMBO,5,0.0,7.0,41.8545,12.4906,40.0
VIA DEL FOSSO DI S. MAURA x VIALE ANTONIO CIAMARRA,10,0.0,6.0,41.8587,12.59155,40.0
VIA CASILINA x VIA DEL TORRACCIO DI TORRENOVA,10,0.0,6.0,41.86305,12.62895,40.0
VIA PRENESTINA x VIA TAURANO,4,0.0,7.0,41.8933,12.6155,39.0
VIA MANUEL DE FALLA x VIA MAURICE RAVEL,9,0.0,6.0,41.7499,12.3721,39.0
VIA ALESSANDRO GERALDINI x VIA ISABELLA DI CASTIGLIA,4,0.0,7.0,41.7157,12.3169,39.0
VIA CRISTOFORO COLOMBO x VIALE DELLA CIVILTA' DEL LAVORO,9,0.0,6.0,41.8348,12.4673,39.0
VIA COLLATINA x VIALE PALMIRO TOGLIATTI,9,0.0,6.0,41.903,12.575,39.0
CORSO DI FRANCIA x VIA FLAMINIA,13,0.0,5.0,41.9367,12.4717,38.0
VIALE DEL CICLISMO x VIALE DELLA TECNICA,8,0.0,6.0,41.82695,12.4591,38.0
PIAZZALE NUMA POMPILIO x VIALE DELLE TERME DI CARACALLA,13,0.0,5.0,41.87925,12.49545,38.0
VIALE DEI ROMANISTI x VIALE PALMIRO TOGLIATTI,8,0.0,6.0,41.86965,12.5683,38.0
VIA APPIA PIGNATELLI x VIA ERODE ATTICO,8,0.0,6.0,41.8396,12.5457,38.0
CORSO DUCA DI GENOVA x VIA FRANCO MEZZADRA,3,0.0,7.0,41.7344,12.2701,38.0
VIA TUSCOLANA x VIALE GIULIO AGRICOLA,7,0.0,6.0,41.8565,12.5626,37.0
VIA NOMENTANA NUOVA x VIA VAL D'OSSOLA,7,0.0,6.0,41.9346,12.5315,37.0
VIA DI TOR TRE TESTE x VIALE ENZO FERRARI,12,0.0,5.0,41.8907,12.5911,37.0
VIA DI DECIMA x VIA OSTIENSE,7,0.0,6.0,41.8233,12.4414,37.0
VIA GIOVANNI BATTISTA MORGAGNI x VIALE REGINA MARGHERITA,7,0.0,6.0,41.9099,12.5105,37.0
VIA CARLO CASINI x VIA GIOVANNI DELLA PENNA,6,0.0,6.0,41.7803,12.3387,36.0
VIA DEL PERGOLATO x VIALE ALESSANDRINO,6,0.0,6.0,41.88485,12.57685,36.0
VIA DEGLI OLMI x VIALE PALMIRO TOGLIATTI,1,0.0,7.0,41.8782,12.5728,36.0
VIA FRANCESCO CARACCIOLO x VIA RUGGERO DI LAURIA,6,0.0,6.0,41.9084,12.4505,36.0
VIA DEL CASALE DI S. BASILIO x VIA POLLENZA,6,0.0,6.0,41.9408,12.5749,36.0
LUNGOTEVERE DI PIETRA PAPA x PIAZZA AUGUSTO RIGHI,6,0.0,6.0,41.8618,12.4701,36.0
VIA FABRIANO x VIA FIUMINATA,5,0.0,6.0,41.9408,12.5842,35.0
VIA COLLATINA x VIA DI GROTTA DI GREGNA,10,0.0,5.0,41.9008,12.5675,35.0
VIA CESARE BARONIO x VIA LUIGI CIBRARIO,5,0.0,6.0,41.8719,12.5191,35.0
VIA AURELIA x VIA PIETRO CIRIACI,5,0.0,6.0,41.8861,12.4012,35.0
VIA DELLA PISANA x VIA DI MONTE STALLONARA,4,0.0,6.0,41.8577,12.389,34.0
VIA DEL FOSSO DELL'OSA x VIA DEL FOSSO SCILICINO,4,0.0,6.0,41.90265,12.68425,34.0
LARGO BEATA TERESA VERZERI x VIA GIUSEPPE PIOLTI DE' BIANCHI,4,0.0,6.0,41.9119,12.3949,34.0
VIA DI BOCCEA x VIA URBANO II,4,0.0,6.0,41.9032,12.42195,34.0
PIAZZA DELLA RADIO x VIA ANTONIO PACINOTTI,9,0.0,5.0,41.87,12.4669,34.0
VIA DEI PESCATORI x VIA MAR DEI CORALLI,9,0.0,5.0,41.7297,12.3046,34.0
VIA DI TORRENOVA x VIA PRENESTINA,4,0.0,6.0,41.89305,12.619900000000001,34.0
VIA DEL FOSSO DELLA MAGLIANA x VIA DELLA MAGLIANA,9,0.0,5.0,41.8317,12.4196,34.0
VIA DI ROCCA CENCIA x VIA URZULEI,4,0.0,6.0,41.882099999999994,12.696,34.0
PIAZZA GIUSEPPE MAZZINI x VIALE GIUSEPPE MAZZINI,9,0.0,5.0,41.9161,12.4641,34.0
VIA FLAVIA TIZIANA x VIALE CARLO TOMMASO ODESCALCHI,4,0.0,6.0,41.8574,12.5012,34.0
VIA DEL TRULLO x VIA SARZANA,4,0.0,6.0,41.843,12.4368,34.0
VIA GELA x VIA TUSCOLANA,4,0.0,6.0,41.8794,12.52175,34.0
VIA NOMENTANA x VIALE REGINA MARGHERITA,14,0.0,4.0,41.913,12.5067,34.0
VIA ARDEATINA x VIA VIGGIANO,4,0.0,6.0,41.8336,12.5178,34.0
VIA CASILINA x VIA PIETRO BELON,4,0.0,6.0,41.8675,12.5905,34.0
LUNGOTEVERE DI S. PAOLO x VIALE DI S. PAOLO,4,0.0,6.0,41.86055,12.4759,34.0
VIA DUCCIO GALIMBERTI x VIALE DELLE MEDAGLIE D'ORO,8,0.0,5.0,41.9137,12.4436,33.0
LUNGOTEVERE TESTACCIO x PIAZZA DELL'EMPORIO,3,0.0,6.0,41.8829,12.4756,33.0
PIAZZA DELLE CINQUE GIORNATE x VIALE DELLE MILIZIE,3,0.0,6.0,41.9142,12.4692,33.0
VIA DELLE BALENIERE x VIA ISOLE DEL CAPO VERDE,8,0.0,5.0,41.7382,12.2795,33.0
CIRCONVALLAZIONE TRIONFALE x PIAZZALE DEGLI EROI,8,0.0,5.0,41.9091,12.4485,33.0
VIA CASILINA x VIA DI TOR BELLA MONACA,8,0.0,5.0,41.8626,12.6212,33.0
VIA FILIPPO SMALDONE x VIA GIACOMO BRESADOLA,8,0.0,5.0,41.8938,12.5611,33.0
VIA DEI TRAGHETTI x VIA DEI VELIERI,12,0.0,4.0,41.7365,12.27575,32.0
LARGO DOMENICO DE DOMINICIS x VIA DI PORTONACCIO,7,0.0,5.0,41.9028,12.536,32.0
CIRCONVALLAZIONE GIANICOLENSE x VIA LUIGI ZAMBARELLI,2,0.0,6.0,41.8725,12.4496,32.0
VIA CRISTOFORO COLOMBO x VIA DI CASAL PALOCCO,7,0.0,5.0,41.7858,12.4115,32.0
VIA DELLA MARRANELLA x VIA VISCONTE MAGGIOLO,7,0.0,5.0,41.8833,12.5423,32.0
VIALE DELL'UNIVERSITA' x VIALE REGINA ELENA,12,0.0,4.0,41.9056,12.5156,32.0
VIALE CHARLES LENORMANT x VIALE DEI ROMAGNOLI,7,0.0,5.0,41.7826,12.3574,32.0
VIA DI PRATAPORCI x VIA TORRE DELLO STINCO,2,0.0,6.0,41.848600000000005,12.6844,32.0
VIA COLLATINA x VIALE GIORGIO DE CHIRICO,12,0.0,4.0,41.9034,12.585,32.0
VIA DI BACCANELLO x VIA DI COLLE FEBBRARO,2,0.0,6.0,42.065,12.34695,32.0
VIA CALPURNIO FIAMMA x VIALE S. GIOVANNI BOSCO,12,0.0,4.0,41.8607,12.5609,32.0
VIA DEI CICLAMINI x VIA FEDERICO DELPINO,7,0.0,5.0,41.8918,12.5661,32.0
VIA GERMANICO x VIA LEONE IV,6,0.0,5.0,41.90795,12.4555,31.0
VIA BENACO x VIA CHIANA,6,0.0,5.0,41.921949999999995,12.504950000000001,31.0
LARGO BRANCACCIO x VIA MERULANA,6,0.0,5.0,41.895,12.5002,31.0
VIA ANAGNI x VIA TOR DE' SCHIAVI,6,0.0,5.0,41.8906,12.5605,31.0
VIA CASILINA x VIA DI VERMICINO,11,0.0,4.0,41.8626,12.6694,31.0
VIA GALLA PLACIDIA x VIA TIBURTINA,6,0.0,5.0,41.9085,12.5427,31.0
VIA DEL FORTE BRASCHI x VIA MATTIA BATTISTINI,6,0.0,5.0,41.9133,12.41845,31.0
VIA DELLA TOLDA x VIA DELLE TARTANE,6,0.0,5.0,41.7255,12.29345,31.0
VIA ANGELO CANEVARI x VIA DI ACILIA,6,0.0,5.0,41.7736,12.37135,31.0
VIA ARISTIDE LEONORI x VIA MARIO MUSCO,6,0.0,5.0,41.8493,12.4881,31.0
VIA DI CASAL BIANCO x VIA RUBELLIA,11,0.0,4.0,41.9389,12.6236,31.0
PIAZZA ADRIANA x VIA CRESCENZIO,6,0.0,5.0,41.9055,12.46615,31.0
PIAZZA DELL'ESQUILINO x VIA CAVOUR,11,0.0,4.0,41.8983,12.497,31.0
CIRCONVALLAZIONE TRIONFALE x VIA TRIONFALE,6,0.0,5.0,41.91385,12.45045,31.0
VIA CORNELIA x VIA DI BOCCEA,6,0.0,5.0,41.9149,12.3847,31.0
VIA TUSCOLANA x VIA VITTORIO OCCORSIO,6,0.0,5.0,41.84615,12.57905,31.0
LARGO MAESTRI DEL LAVORO x VIALE GUGLIELMO MARCONI,6,0.0,5.0,41.84925,12.474450000000001,31.0
VIA CRISTOFORO COLOMBO x VIA ERMANNO WOLF FERRARI,10,0.0,4.0,41.7549,12.3779,30.0
VIA NOMENTANA x VIA VAL TROMPIA,5,0.0,5.0,41.959,12.5737,30.0
VIA ALESSANDRO BRISSE x VIA PORTUENSE,5,0.0,5.0,41.8469,12.414,30.0
VIA CASILINA x VIA GRANITI,5,0.0,5.0,41.8646,12.6987,30.0
VIALE DELLA SORBONA x VIALE OXFORD,20,0.0,2.0,41.8592,12.627199999999998,30.0
VIA CHIANA x VIA TAGLIAMENTO,5,0.0,5.0,41.9217,12.5053,30.0
VIA DEI SARDI x VIA DEI VOLSCI,5,0.0,5.0,41.8981,12.5155,30.0
VIA CESARE MACCARI x VIA DI PRATO CORNELIO,5,0.0,5.0,41.7724,12.3589,30.0
VIA DELL'AEROPORTO x VIA FLAVIO STILICONE,5,0.0,5.0,41.8618,12.5556,30.0
VIA AURELIA ANTICA x VIA DI TORRE ROSSA,10,0.0,4.0,41.890550000000005,12.4315,30.0
VIA APPIA NUOVA x VIA DON ORIONE,5,0.0,5.0,41.8793,12.517,30.0
VIA DELLA MAGLIANA x VIALE GAETANO ARTURO CROCCO,5,0.0,5.0,41.8317,12.4196,30.0
VIA DEL MARE x VIA OSTIENSE,4,0.0,5.0,41.841750000000005,12.4653,29.0
VIALE ANICIO GALLO x VIALE APPIO CLAUDIO,4,0.0,5.0,41.8535,12.5625,29.0
VIA DI TOR PIGNATTARA x VIA GALEAZZO ALESSI,4,0.0,5.0,41.8792,12.542,29.0
VIA CANDIA x VIA SANTAMAURA,4,0.0,5.0,41.908199999999994,12.45325,29.0
VIA DI TORRE SPACCATA x VIA TUSCOLANA,4,0.0,5.0,41.8485,12.57565,29.0
VIA DEI MONTI DI PRIMAVALLE x VIA MATTIA BATTISTINI,4,0.0,5.0,41.9139,12.4184,29.0
VIA QUINTILIO VARO x VIALE TITO LABIENO,4,0.0,5.0,41.8527,12.5659,29.0
LARGO ANGELO FOCHETTI x VIA CRISTOFORO COLOMBO,8,0.0,4.0,41.86725,12.4962,28.0
CIRCONVALLAZIONE CASILINA x VIA CASILINA,3,0.0,5.0,41.8869,12.5271,28.0
VIA ARTURO GRAF x VIA NOMENTANA,8,0.0,4.0,41.959,12.5737,28.0
VIA DI ACILIA x VIA GIANFILIPPO USELLINI,8,0.0,4.0,41.773,12.3745,28.0
CIRCONVALLAZIONE AURELIA x VIA AURELIA,3,0.0,5.0,41.8983,12.4279,28.0
VIA DEL FORTE BRASCHI x VIA DELLA PINETA SACCHETTI,3,0.0,5.0,41.924,12.425,28.0
VIA AURELIA x VIA DI S. MARIA MEDIATRICE,3,0.0,5.0,41.9,12.4443,28.0
VIA DELLA CORAZZATA x VIALE DEL SOMMERGIBILE,3,0.0,5.0,41.7364,12.2627,28.0
VIA DEL MARE x VIA DELL'IPPICA,3,0.0,5.0,41.8403,12.4632,28.0
PIAZZALE DEGLI EROI x VIALE DELLE MEDAGLIE D'ORO,3,0.0,5.0,41.9094,12.4486,28.0
CIRCONVALLAZIONE GIANICOLENSE x VIA OTTAVIO GASPARRI,8,0.0,4.0,41.87535,12.44575,28.0
VIA DI MALAFEDE x VIA OSTIENSE,8,0.0,4.0,41.7936,12.39245,28.0
VIA CRISTOFORO COLOMBO x VIALE AMERICA,8,0.0,4.0,41.8271,12.466349999999998,28.0
VIA DOBBIACO x VIA VALFLORIANA,3,0.0,5.0,41.7259,12.3773,28.0
LUNGOTEVERE FLAMINIO x PIAZZA GENTILE DA FABRIANO,3,0.0,5.0,41.9269,12.4619,28.0
PIAZZA ELIO RUFINO x VIA CRISTOFORO COLOMBO,3,0.0,5.0,41.8584,12.4966,28.0
VIA DEI RUDERI DI CASA CALDA x VIA WALTER TOBAGI,3,0.0,5.0,41.8753,12.5973,28.0
VIA BORGHESIANA x VIA SAVOCA,3,0.0,5.0,41.8692,12.674,28.0
VIA PIETRO SOMMARIVA x VIALE DEI ROMANISTI,3,0.0,5.0,41.8674,12.5775,28.0
VIA DI ROCCA CENCIA x VIA PRENESTINA NUOVA,3,0.0,5.0,41.8855,12.6955,28.0
LARGO CAVALIERI DI COLOMBO x VIALE DELLE TERME DI CARACALLA,7,0.0,4.0,41.8815,12.4931,27.0
VIA LUCIO FONTANA x VIA LUIGI RUSSOLO,2,0.0,5.0,41.9115,12.6182,27.0
VIA BORGHESIANA x VIA CASILINA,7,0.0,4.0,41.864,12.6753,27.0
VIA DEI TRAGHETTI x VIA DELLE BALEARI,2,0.0,5.0,41.736149999999995,12.27835,27.0
VIA FRANCESCO DONATI x VICOLO DI DRAGONE,7,0.0,4.0,41.7786,12.3423,27.0
VIA CASTELVETRANO x VIA NICOLOSI,2,0.0,5.0,41.85425,12.6661,27.0
VIA CASILINA x VIA SICULIANA,7,0.0,4.0,41.8626,12.6212,27.0
VIA COLLATINA x VIA EMILIO LONGONI,7,0.0,4.0,41.9049,12.602,27.0
VIA CASILINA x VIALE FILARETE,7,0.0,4.0,41.8814,12.5387,27.0
VIA DELLE VIGNE NUOVE x VIA VILLA DI FAONTE,7,0.0,4.0,41.9554,12.5358,27.0
VIA ARDUINO x VIA DELLA LEGA LOMBARDA,7,0.0,4.0,41.9089,12.5237,27.0
VIALE PALMIRO TOGLIATTI x VIALE SACCO E VANZETTI,2,0.0,5.0,41.9105,12.5724,27.0
VIA DEI SETTE METRI x VIA DEL FOSSO DELL'ACQUA MARIANA,2,0.0,5.0,41.8166,12.6082,27.0
VIA GENZANO x VIA ROCCA DI PAPA,6,0.0,4.0,41.8693,12.535,26.0
VIA BUSACHI x VIA PRENESTINA,1,0.0,5.0,41.8899,12.6889,26.0
VIA DELLA LEGA LOMBARDA x VIA GIANO DELLA BELLA,6,0.0,4.0,41.9089,12.5234,26.0
PIAZZA DELLE CAMELIE x VIA TOR DE' SCHIAVI,6,0.0,4.0,41.876149999999996,12.5644,26.0
VIA CASILINA x VIA DI TORRENOVA,6,0.0,4.0,41.862750000000005,12.62025,26.0
VIA PORTUENSE x VIA USINI,6,0.0,4.0,41.8335,12.381699999999999,26.0
VIA CADORE x VIA LUDOVISI,1,0.0,5.0,41.9068,12.4879,26.0
VIA DI BOCCEA x VIA DI VAL CANNUTA,6,0.0,4.0,41.9149,12.3847,26.0
PIAZZA VITTORIO EMANUELE II x VIA EMANUELE FILIBERTO,6,0.0,4.0,41.8932,12.5053,26.0
PIAZZA DI S. GIOVANNI IN LATERANO x VIA MERULANA,6,0.0,4.0,41.8873,12.505749999999999,26.0
VIA GIACOMO BRESADOLA x VIA VINCENZO CESATI,6,0.0,4.0,41.8931,12.5613,26.0
VIA DEI FRENTANI x VIALE PRETORIANO,5,0.0,4.0,41.9006,12.5082,25.0
VIA FOLIGNO x VIA TERNI,5,0.0,4.0,41.885099999999994,12.5187,25.0
VIALE DEL POLICLINICO x VIALE DELL'UNIVERSITA',5,0.0,4.0,41.904,12.5108,25.0
VIA GAETANO MAZZONI x VIA GIOVANNI SENZATERRA,5,0.0,4.0,41.9081,12.3946,25.0
VIA GIORGIO MOSER x VIA PUPELLA MAGGIO,5,0.0,4.0,41.9727,12.5349,25.0
VIALE ARCICONFRATERNITA DI N. S.RA DI LOURDES x VIALE DEI CIPRESSI,5,0.0,4.0,42.0134,12.4928,25.0
PIAZZALE DELLA FARNESINA x VIALE ANTONINO DI SAN GIULIANO,5,0.0,4.0,41.9372,12.4605,25.0
VIA NOMENTANA x VIA VAL BREMBANA,5,0.0,4.0,41.959,12.5737,25.0
VIA DI CASAL BIANCO x VIA DI MARCO SIMONE,10,0.0,3.0,41.947,12.64565,25.0
PIAZZALE CLODIO x VIALE GIUSEPPE MAZZINI,5,0.0,4.0,41.9167,12.4549,25.0
VIA LIGURIA x VIA VITTORIO VENETO,5,0.0,4.0,41.906549999999996,12.489650000000001,25.0
